CMDLINE /home/halfak/venv/3.5/bin/python3 demo_global_memory.py
MEM 4907.242188 1520965585.5253
MEM 4907.242188 1520965585.6569
MEM 4907.242188 1520965585.7763
MEM 4907.242188 1520965585.8917
MEM 4907.242188 1520965586.0071
MEM 4907.242188 1520965586.1325
MEM 4907.242188 1520965586.2520
MEM 4907.242188 1520965586.3715
MEM 4907.242188 1520965586.4951
MEM 4907.242188 1520965586.6204
MEM 4907.242188 1520965586.7366
MEM 4907.242188 1520965586.8643
MEM 4907.242188 1520965587.0038
MEM 4907.242188 1520965587.1322
MEM 4907.242188 1520965587.2517
MEM 4907.242188 1520965587.3713
MEM 4907.242188 1520965587.4912
MEM 4907.242188 1520965587.6310
MEM 4907.242188 1520965587.7467
MEM 4907.242188 1520965587.8703
MEM 4907.242188 1520965587.9980
MEM 4907.242188 1520965588.1254
MEM 4907.242188 1520965588.2410
MEM 4907.242188 1520965588.3651
MEM 4907.242188 1520965588.4887
MEM 4907.242188 1520965588.6124
MEM 4907.242188 1520965588.7398
MEM 4907.242188 1520965588.8601
MEM 4907.242188 1520965588.9754
MEM 4907.242188 1520965589.0949
MEM 4907.242188 1520965589.2186
MEM 4907.242188 1520965589.3424
MEM 4907.242188 1520965589.4578
MEM 4907.242188 1520965589.5735
MEM 4907.242188 1520965589.6941
MEM 4907.242188 1520965589.8109
MEM 4907.242188 1520965589.9306
MEM 4907.242188 1520965590.0581
MEM 4907.242188 1520965590.1856
MEM 4907.242188 1520965590.3132
MEM 4907.242188 1520965590.4396
MEM 4907.242188 1520965590.5672
MEM 4907.242188 1520965590.6934
MEM 4907.242188 1520965590.8219
MEM 4907.242188 1520965590.9364
MEM 4907.242188 1520965591.0641
MEM 4907.242188 1520965591.1836
MEM 4907.242188 1520965591.3032
MEM 4907.242188 1520965591.4226
MEM 4907.242188 1520965591.5427
MEM 4907.242188 1520965591.6702
MEM 4907.242188 1520965591.7978
MEM 4907.242188 1520965591.9253
MEM 4907.242188 1520965592.0528
MEM 4907.242188 1520965592.1684
MEM 4907.242188 1520965592.2918
MEM 4907.242188 1520965592.4193
MEM 4907.242188 1520965592.5412
MEM 4907.242188 1520965592.6689
MEM 4907.242188 1520965592.7908
MEM 4907.242188 1520965592.9063
MEM 4907.242188 1520965593.0299
MEM 4907.242188 1520965593.1502
MEM 4907.242188 1520965593.2705
MEM 4907.242188 1520965593.3983
MEM 4907.242188 1520965593.5178
MEM 4907.242188 1520965593.6333
MEM 4907.242188 1520965593.7570
MEM 4907.242188 1520965593.8783
MEM 4907.242188 1520965594.0019
MEM 4907.242188 1520965594.1256
MEM 4907.242188 1520965594.2451
MEM 4907.242188 1520965594.3673
MEM 4907.242188 1520965594.4868
MEM 4907.242188 1520965594.6072
MEM 4907.242188 1520965594.7334
MEM 4907.242188 1520965594.8570
MEM 4907.242188 1520965594.9791
MEM 4907.242188 1520965595.1008
MEM 4907.242188 1520965595.2243
MEM 4907.242188 1520965595.3438
MEM 4907.242188 1520965595.4633
MEM 4907.242188 1520965595.5828
MEM 4907.242188 1520965595.7064
MEM 4907.242188 1520965595.8304
MEM 4907.242188 1520965595.9546
MEM 4907.242188 1520965596.0782
MEM 4907.242188 1520965596.2017
MEM 4907.242188 1520965596.3253
MEM 4907.242188 1520965596.4485
MEM 4907.242188 1520965596.5676
MEM 4907.242188 1520965596.6871
MEM 4907.242188 1520965596.8147
