CMDLINE /home/halfak/venv/3.5/bin/python3 demo_import_memory.py
MEM 4909.808594 1520965650.0179
MEM 4909.808594 1520965650.1343
MEM 4909.808594 1520965650.2583
MEM 4909.808594 1520965650.3789
MEM 4909.808594 1520965650.5021
MEM 4909.808594 1520965650.6184
MEM 4909.808594 1520965650.7353
MEM 4909.808594 1520965650.8560
MEM 4909.808594 1520965650.9783
MEM 4909.808594 1520965651.1042
MEM 4909.808594 1520965651.2285
MEM 4909.808594 1520965651.3548
MEM 4909.808594 1520965651.4807
MEM 4909.808594 1520965651.6067
MEM 4909.808594 1520965651.7340
MEM 4909.808594 1520965651.8610
MEM 4909.808594 1520965651.9843
MEM 4909.808594 1520965652.1105
MEM 4909.808594 1520965652.2271
MEM 4909.808594 1520965652.3534
MEM 4909.808594 1520965652.4803
MEM 4909.808594 1520965652.6011
MEM 4909.808594 1520965652.7217
MEM 4909.808594 1520965652.8381
MEM 4909.808594 1520965652.9661
MEM 4909.808594 1520965653.0979
MEM 4909.808594 1520965653.2243
MEM 4909.808594 1520965653.3491
MEM 4909.808594 1520965653.4641
MEM 4909.808594 1520965653.5904
MEM 4909.808594 1520965653.7176
MEM 4909.808594 1520965653.8438
MEM 4909.808594 1520965653.9697
MEM 4909.808594 1520965654.0966
MEM 4909.808594 1520965654.2126
MEM 4909.808594 1520965654.3285
MEM 4909.808594 1520965654.4490
MEM 4909.808594 1520965654.5656
MEM 4909.808594 1520965654.6816
MEM 4909.808594 1520965654.8058
MEM 4909.808594 1520965654.9308
MEM 4909.808594 1520965655.0515
MEM 4909.808594 1520965655.1738
MEM 4909.808594 1520965655.3006
MEM 4909.808594 1520965655.4184
MEM 4909.808594 1520965655.5349
MEM 4909.808594 1520965655.6513
MEM 4909.808594 1520965655.7718
MEM 4909.808594 1520965655.8944
MEM 4909.808594 1520965656.0213
MEM 4909.808594 1520965656.1379
MEM 4909.808594 1520965656.2648
MEM 4909.808594 1520965656.3907
MEM 4909.808594 1520965656.5130
MEM 4909.808594 1520965656.6290
MEM 4909.808594 1520965656.7521
MEM 4909.808594 1520965656.8680
MEM 4909.808594 1520965656.9936
MEM 4909.808594 1520965657.1157
MEM 4909.808594 1520965657.2385
MEM 4909.808594 1520965657.3600
MEM 4909.808594 1520965657.4860
MEM 4909.808594 1520965657.6097
MEM 4909.808594 1520965657.7365
MEM 4909.808594 1520965657.8640
MEM 4909.808594 1520965657.9804
MEM 4909.808594 1520965658.1046
MEM 4909.808594 1520965658.2205
MEM 4909.808594 1520965658.3363
MEM 4909.808594 1520965658.4592
MEM 4909.808594 1520965658.5832
MEM 4909.808594 1520965658.7036
MEM 4909.808594 1520965658.8258
MEM 4909.808594 1520965658.9522
MEM 4909.808594 1520965659.0767
MEM 4909.808594 1520965659.2012
MEM 4909.808594 1520965659.3177
MEM 4909.808594 1520965659.4391
MEM 4909.808594 1520965659.5662
MEM 4909.808594 1520965659.6927
MEM 4909.808594 1520965659.8134
MEM 4909.808594 1520965659.9297
MEM 4909.808594 1520965660.0606
MEM 4909.808594 1520965660.1770
MEM 4909.808594 1520965660.2934
MEM 4909.808594 1520965660.4163
MEM 4909.808594 1520965660.5392
MEM 4909.808594 1520965660.6593
MEM 4909.808594 1520965660.7847
MEM 4909.808594 1520965660.9111
MEM 4909.808594 1520965661.0316
MEM 4909.808594 1520965661.1577
MEM 4909.808594 1520965661.2833
MEM 4909.808594 1520965661.4009
MEM 4909.808594 1520965661.5208
MEM 4909.808594 1520965661.6370
MEM 4909.808594 1520965661.7608
MEM 4909.808594 1520965661.8846
MEM 4909.808594 1520965662.0091
MEM 4909.808594 1520965662.1255
MEM 4909.808594 1520965662.2488
MEM 4909.808594 1520965662.3690
MEM 4909.808594 1520965662.4963
MEM 4909.808594 1520965662.6205
MEM 4909.808594 1520965662.7454
MEM 4909.808594 1520965662.8694
MEM 4909.808594 1520965662.9985
MEM 4909.808594 1520965663.1233
MEM 4909.808594 1520965663.2437
MEM 4909.808594 1520965663.3636
MEM 4909.808594 1520965663.4919
MEM 4909.808594 1520965663.6082
MEM 4909.808594 1520965663.7382
MEM 4909.808594 1520965663.8647
MEM 4909.808594 1520965663.9888
MEM 4909.808594 1520965664.1048
MEM 4909.808594 1520965664.2265
MEM 4909.808594 1520965664.3505
MEM 4909.808594 1520965664.4779
MEM 4909.808594 1520965664.6019
MEM 4909.808594 1520965664.7345
MEM 4909.808594 1520965664.8625
MEM 4909.824219 1520965664.9725
MEM 985.136719 1520965665.0837
MEM 985.136719 1520965665.1945
MEM 985.136719 1520965665.3054
MEM 985.136719 1520965665.4184
MEM 985.136719 1520965665.5293
MEM 985.136719 1520965665.6396
MEM 985.136719 1520965665.7499
MEM 985.136719 1520965665.8608
MEM 985.136719 1520965665.9712
MEM 985.136719 1520965666.0824
MEM 984.886719 1520965666.1972
MEM 899.386719 1520965666.3120
